epoch,balanced_ce
1,0.792028506117111
2,0.7746384120969609
3,0.7709902928380127
4,0.7701786919920282
5,0.7632344701666046
6,0.7621445760808208
7,0.7635003796524622
8,0.7598024019124833
9,0.7606822011823003
10,0.7581439291719686
11,0.760700164701451
12,0.7600973489778963
13,0.7591566349464384
14,0.7648332798006859
15,0.7574876750057394
16,0.7518729650500146
17,0.7600258707322858
18,0.7622549237514084
19,0.7625437335703861
20,0.7573585451834581
21,0.754899796267802
22,0.7559966487302021
23,0.7594271316616372
24,0.7615176103162494
25,0.7661419570954009
26,0.7623583815822547
27,0.7552469706332142
28,0.7612351893701337
29,0.7660106085240841
30,0.757714377885515
31,0.7581930884837427
32,0.7563129917464473
33,0.7560355766591701
34,0.7588669148866426
35,0.7558568852360953
36,0.7561823875135318
37,0.760302955200049
38,0.7641628522595222
39,0.7590098467401483
40,0.7604913870719346
41,0.7576754931783811
42,0.750511228360913
43,0.7592412858185443
44,0.7584901083768769
45,0.7640285169367086
46,0.7558175129815936
47,0.7499605906619267
48,0.7570894816467031
49,0.7564935732463544
50,0.7621158875355666
51,0.7572146519510583
52,0.7533504859629002
53,0.7530339778062295
54,0.7597510901872407
55,0.7529877927154303
56,0.7608454723588445
57,0.7573767892847006
58,0.7527029706503857
59,0.7578915829177607
60,0.7529167968949134
61,0.7595312431115996
62,0.7582475037567995
63,0.7562039327723059
64,0.7612470200454647
65,0.7542461741885002
66,0.7544201552359895
67,0.751270633275536
68,0.7634684429927305
69,0.7500713265246965
70,0.7585044286044483
71,0.7601391165093943
72,0.7514727727764032
73,0.7562446018511598
74,0.7575238479132002
75,0.7600701061839407
76,0.7563153280114586
77,0.7527778202837164
78,0.760413862595504
79,0.7614379472691905
80,0.7577280657873913
81,0.7525398987768726
82,0.7578768635338003
83,0.7572709241543304
84,0.7495363115925681
85,0.7530482057482004
86,0.7601898471740159
87,0.7586771314117041
88,0.7531616258519617
89,0.7553040513091467
90,0.7483012119985439
91,0.7547410542399369
92,0.7577619259669022
93,0.7593877891247923
94,0.7609170371327888
95,0.7541642315177755
96,0.7581164231523871
97,0.7523095055737279
98,0.7537370926107873
99,0.7568594271909784
100,0.7494823350994424
